Lig	Rec	LigRec	pathway	evidence
WNT3A	FZD5	WNT3A_FZD5	WNT	KEGG: hsa04310; PMID: 23209147;22753465
WNT3A	FZD6	WNT3A_FZD6	WNT	KEGG: hsa04310; PMID: 23209147;21665003;21665003,21
WNT3A	FZD7	WNT3A_FZD7	WNT	KEGG: hsa04310; PMID: 23209147;18215320
WNT3A	FZD8	WNT3A_FZD8	WNT	KEGG: hsa04310; PMID: 23209147;22303445
WNT3A	FZD9	WNT3A_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD1	WNT4_FZD1	WNT	KEGG: hsa04310; PMID: 23209147;32103204
WNT4	LRP5	WNT4_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD10	WNT4_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD2	WNT4_FZD2	WNT	KEGG: hsa04310; PMID: 23209147;12325120
WNT4	FZD3	WNT4_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD4	WNT4_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD5	WNT4_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD6	WNT4_FZD6	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;15265686,24032637;15265686,21541287,15265686
WNT4	FZD7	WNT4_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT4	FZD8	WNT4_FZD8	WNT	KEGG: hsa04310; PMID: 23209147;32103204
WNT4	FZD9	WNT4_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD1	WNT6_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	LRP5	WNT6_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD10	WNT6_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD2	WNT6_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD3	WNT6_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD4	WNT6_FZD4	WNT	KEGG: hsa04310; PMID: 23209147;31618077
WNT6	FZD5	WNT6_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD6	WNT6_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD7	WNT6_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD8	WNT6_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
WNT6	FZD9	WNT6_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD1	WNT7B_FZD1	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;15923619
WNT7B	LRP5	WNT7B_LRP5	WNT	KEGG: hsa04310; PMID: 23209147;15923619
WNT7B	FZD10	WNT7B_FZD10	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;26198319,32196115,32103204;15923619
WNT7B	FZD2	WNT7B_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD3	WNT7B_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD4	WNT7B_FZD4	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;24032637
WNT7B	FZD5	WNT7B_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD6	WNT7B_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD7	WNT7B_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD8	WNT7B_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
WNT7B	FZD9	WNT7B_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD1	WNT8A_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	LRP5	WNT8A_LRP5	WNT	KEGG: hsa04310; PMID: 23209147;32196115;
WNT8A	FZD10	WNT8A_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD2	WNT8A_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD3	WNT8A_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD4	WNT8A_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD5	WNT8A_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD6	WNT8A_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD7	WNT8A_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD8	WNT8A_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
WNT8A	FZD9	WNT8A_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	FZD1	WNT8B_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	LRP5	WNT8B_LRP5	WNT	KEGG: hsa04310; PMID: 23209147;32196115;
WNT8B	FZD10	WNT8B_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	FZD2	WNT8B_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	FZD3	WNT8B_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	FZD4	WNT8B_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	FZD5	WNT8B_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT8B	FZD6	WNT8B_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
